lat,lon,detection_date,detection_confidence,fire_radiative_power
-18.35942,26.65817,2026-05-18,nominal,1.19
-18.35993,26.66234,2026-05-18,nominal,1.53
-18.36387,26.45063,2026-05-18,nominal,4.09
-18.36698,26.47523,2026-05-18,nominal,2.85
-18.3675,26.47932,2026-05-18,nominal,2.85
-18.3681,26.44998,2026-05-18,nominal,1.64
-18.37122,26.47456,2026-05-18,nominal,1.06
-18.37173,26.47864,2026-05-18,nominal,1.06
-18.37233,26.44932,2026-05-18,nominal,1.64
-18.42476,26.52063,2026-05-18,nominal,1.28
-18.4221,26.4668,2026-05-18,nominal,0.46
-18.43335,26.51985,2026-05-18,nominal,1.34
-18.4238,26.52255,2026-05-18,nominal,1.97
-18.42101,26.4645,2026-05-18,nominal,0.64
-18.43185,26.51746,2026-05-18,nominal,1.38
-18.43628,26.48312,2026-05-18,nominal,2.44
-18.43935,26.50795,2026-05-18,nominal,1.38
-18.43987,26.51218,2026-05-18,nominal,1.38
-18.44003,26.4785,2026-05-18,nominal,1.31
-18.44414,26.51158,2026-05-18,nominal,1.38
-18.44379,26.4739,2026-05-18,nominal,1.0
-18.44804,26.47331,2026-05-18,nominal,1.0
38.92044,-9.01091,2026-05-18,nominal,1.24
-1.78794,9.82134,2026-05-18,nominal,0.66
38.31807,-6.71756,2026-05-18,nominal,1.54
-1.79395,9.8204,2026-05-18,nominal,0.66
38.32137,-6.71612,2026-05-18,nominal,1.05
-3.59108,-38.86515,2026-05-18,nominal,5.53
-1.80846,9.79521,2026-05-18,nominal,5.57
35.81639,-0.26721,2026-05-18,nominal,1.33
-3.59199,-38.85981,2026-05-18,nominal,4.33
-1.80477,9.79601,2026-05-18,nominal,3.31
35.81008,-0.27099,2026-05-18,nominal,1.25
-3.59192,-38.86136,2026-05-18,nominal,7.68
-1.8108,9.7953,2026-05-18,nominal,3.31
35.76431,-0.26857,2026-05-18,nominal,1.63
-12.39926,-38.34437,2026-05-18,nominal,2.59
-2.42006,9.8653,2026-05-18,nominal,0.79
15.96814,12.55877,2026-05-18,nominal,0.52
37.9824,-8.81879,2026-05-18,nominal,11.11
-20.22945,-40.23615,2026-05-18,nominal,0.72
-2.42078,9.87,2026-05-18,nominal,0.79
15.62511,11.34177,2026-05-18,nominal,2.32
37.9813,-8.81389,2026-05-18,nominal,7.29
-20.23018,-40.23278,2026-05-18,nominal,0.72
-2.42613,9.86429,2026-05-18,nominal,0.79
15.62252,11.32919,2026-05-18,nominal,3.88
37.18102,-6.89285,2026-05-18,nominal,1.41
-20.23245,-40.24764,2026-05-18,nominal,1.69
15.61292,11.35125,2026-05-18,nominal,1.79
-2.42683,9.8689,2026-05-18,nominal,0.79
-20.23318,-40.24427,2026-05-18,nominal,0.82
15.62475,11.34137,2026-05-18,nominal,2.65
-20.23393,-40.24085,2026-05-18,nominal,0.82
15.62207,11.32876,2026-05-18,nominal,3.73
-20.2354,-40.23408,2026-05-18,nominal,0.72
15.60538,11.28313,2026-05-18,nominal,3.22
-20.23614,-40.2307,2026-05-18,nominal,0.57
15.60047,11.2821,2026-05-18,nominal,3.52
-20.23915,-40.24217,2026-05-18,nominal,1.48
13.29696,13.88861,2026-05-18,nominal,0.94
-20.2384,-40.24557,2026-05-18,nominal,1.48
13.29287,13.87795,2026-05-18,nominal,1.04
-20.24437,-40.24345,2026-05-18,nominal,1.48
13.29092,13.88728,2026-05-18,nominal,0.94
-20.24959,-40.24477,2026-05-18,nominal,3.4
13.23687,13.83918,2026-05-18,nominal,2.66
-20.25032,-40.24139,2026-05-18,nominal,1.66
15.04494,-4.26499,2026-05-18,nominal,1.31
-20.25179,-40.23459,2026-05-18,nominal,1.07
15.07496,-4.54416,2026-05-18,nominal,1.15
-21.27035,-40.00097,2026-05-18,nominal,2.12
15.06619,-4.55053,2026-05-18,nominal,1.62
14.32603,-4.16891,2026-05-18,nominal,0.87
14.1522,-4.29519,2026-05-18,nominal,1.64
14.15141,-4.29397,2026-05-18,nominal,1.07
14.1108,-6.20993,2026-05-18,nominal,0.62
14.11042,-6.20675,2026-05-18,nominal,0.62
14.10485,-6.20424,2026-05-18,nominal,1.19
14.26037,-10.95306,2026-05-18,nominal,2.55
14.2618,-10.95294,2026-05-18,nominal,1.62
13.48607,-10.39234,2026-05-18,nominal,11.18
13.48324,-10.38814,2026-05-18,nominal,10.21
11.82217,-12.24437,2026-05-18,nominal,3.41
3.46508,5.56131,2026-05-18,nominal,3.43
3.46355,5.56191,2026-05-18,nominal,3.28
-1.5215,9.95253,2026-05-18,nominal,1.82
58.4786,1.26992,2026-05-18,nominal,0.83
57.08356,0.89145,2026-05-18,nominal,1.85
53.63447,-0.24284,2026-05-18,nominal,1.62
53.56852,-0.60455,2026-05-18,nominal,1.79
53.56706,-0.5987,2026-05-18,nominal,1.79
53.39745,-1.38718,2026-05-18,nominal,0.55
52.64183,-8.68968,2026-05-18,nominal,1.04
43.44556,4.89869,2026-05-18,nominal,1.17
43.40981,-3.83939,2026-05-18,nominal,1.01
39.93631,-3.74412,2026-05-18,nominal,0.58
39.68549,-8.90527,2026-05-18,nominal,0.7
40.51886,17.20697,2026-05-18,nominal,0.8
40.50342,17.21683,2026-05-18,nominal,1.11
42.5498,-6.77208,2026-05-18,nominal,1.23
37.91798,23.07145,2026-05-18,nominal,1.05
59.38541,28.45678,2026-05-18,nominal,1.47
40.55793,9.67399,2026-05-18,nominal,0.9
-20.55061,-43.77125,2026-05-18,nominal,4.65
60.2874,22.2937,2026-05-18,nominal,0.46
38.79539,15.21534,2026-05-18,nominal,1.64
-20.5492,-43.77715,2026-05-18,nominal,4.65
60.61017,16.79611,2026-05-18,nominal,0.91
38.79656,15.20989,2026-05-18,nominal,2.34
57.70933,18.80173,2026-05-18,nominal,2.18
-22.27857,-41.73149,2026-05-18,nominal,4.59
38.79169,15.21344,2026-05-18,nominal,1.64
15.20065,-10.02884,2026-05-18,nominal,1.4
58.38416,13.82764,2026-05-18,nominal,0.61
-22.27944,-41.72761,2026-05-18,nominal,4.26
38.79281,15.20819,2026-05-18,nominal,2.34
58.38308,13.82811,2026-05-18,nominal,0.44
15.19672,-10.04122,2026-05-18,nominal,1.97
-22.28491,-41.72911,2026-05-18,nominal,2.05
38.79572,15.21511,2026-05-18,nominal,3.18
55.96353,26.08632,2026-05-18,nominal,0.64
15.19958,-10.03014,2026-05-18,nominal,1.35
-22.28269,-41.73066,2026-05-18,nominal,7.07
38.79202,15.21311,2026-05-18,nominal,3.86
55.96208,26.09217,2026-05-18,nominal,0.64
40.34879,-4.44526,2026-05-18,nominal,1.31
-22.28356,-41.72686,2026-05-18,nominal,4.08
15.19558,-10.04258,2026-05-18,nominal,1.47
58.47895,1.26068,2026-05-18,nominal,0.8
40.34269,-4.4456,2026-05-18,nominal,0.48
14.14921,-11.91388,2026-05-18,nominal,0.81
55.09598,21.79924,2026-05-18,nominal,1.09
39.08265,9.02056,2026-05-18,nominal,0.9
13.89088,-13.31009,2026-05-18,nominal,1.32
55.57833,4.76001,2026-05-18,nominal,0.62
39.07936,9.01972,2026-05-18,nominal,0.9
13.12185,-10.12044,2026-05-18,nominal,6.4
47.88073,35.19304,2026-05-18,nominal,1.09
40.10788,-3.70773,2026-05-18,nominal,1.94
13.73902,-13.14536,2026-05-18,high,20.09
53.52199,9.90407,2026-05-18,nominal,4.34
39.93621,-3.74449,2026-05-18,nominal,0.79
13.73831,-13.14181,2026-05-18,nominal,20.09
53.63567,-0.24968,2026-05-18,nominal,1.28
36.79768,10.2858,2026-05-18,nominal,0.84
13.73761,-13.13827,2026-05-18,nominal,3.13
53.63552,-0.24388,2026-05-18,nominal,1.21
36.77676,10.19964,2026-05-18,nominal,0.36
13.73973,-13.14892,2026-05-18,nominal,10.75
52.17612,14.61661,2026-05-18,nominal,0.53
36.67709,9.91917,2026-05-18,nominal,0.7
13.7369,-13.13473,2026-05-18,nominal,3.13
52.17287,14.61524,2026-05-18,nominal,0.53
36.59115,10.31806,2026-05-18,nominal,0.74
13.73505,-13.15367,2026-05-18,nominal,10.75
52.1711,14.62627,2026-05-18,nominal,1.15
36.52269,10.66804,2026-05-18,nominal,0.4
13.73435,-13.15013,2026-05-18,high,10.75
52.67366,0.26064,2026-05-18,nominal,0.62
36.88215,6.96003,2026-05-18,nominal,0.8
13.73364,-13.14659,2026-05-18,nominal,20.09
51.4928,6.7333,2026-05-18,nominal,1.59
36.87798,6.94071,2026-05-18,nominal,0.75
13.73293,-13.14305,2026-05-18,nominal,20.09
36.76144,7.30906,2026-05-18,nominal,1.9
51.49203,6.74137,2026-05-18,nominal,1.59
13.73221,-13.13949,2026-05-18,nominal,3.13
36.74707,6.25437,2026-05-18,nominal,3.73
50.65453,11.43249,2026-05-18,nominal,0.82
13.72966,-13.15485,2026-05-18,nominal,1.66
36.74785,6.2574,2026-05-18,nominal,1.39
48.61317,21.19672,2026-05-18,nominal,1.65
13.71701,-13.23149,2026-05-18,nominal,1.55
36.74508,6.25207,2026-05-18,nominal,1.39
48.61084,21.19461,2026-05-18,nominal,1.26
36.74443,6.25667,2026-05-18,nominal,1.39
48.60548,21.17978,2026-05-18,nominal,1.99
13.56428,-12.5109,2026-05-18,nominal,1.05
36.74803,3.08046,2026-05-18,nominal,0.71
51.04562,2.29094,2026-05-18,nominal,2.05
13.55863,-12.5121,2026-05-18,nominal,1.05
35.77437,9.89073,2026-05-18,nominal,0.99
51.04516,2.29911,2026-05-18,nominal,2.05
13.71486,-13.23131,2026-05-18,nominal,1.97
36.68,3.12428,2026-05-18,nominal,1.19
51.03605,2.28958,2026-05-18,nominal,1.33
13.56233,-12.51373,2026-05-18,nominal,0.88
36.63222,3.23281,2026-05-18,nominal,1.2
51.02738,2.27189,2026-05-18,nominal,1.94
13.55669,-12.51494,2026-05-18,nominal,0.88
36.3327,5.4813,2026-05-18,nominal,1.6
49.95393,9.77008,2026-05-18,nominal,0.51
13.35924,-13.57704,2026-05-18,nominal,0.87
36.59634,2.87824,2026-05-18,nominal,0.84
48.27876,14.34733,2026-05-18,nominal,1.66
13.35393,-13.57803,2026-05-18,nominal,0.87
36.17645,5.57201,2026-05-18,nominal,0.96
48.27966,14.34214,2026-05-18,nominal,1.66
13.3316,-14.0982,2026-05-18,nominal,0.8
36.17891,3.74723,2026-05-18,nominal,0.63
48.27727,14.33567,2026-05-18,nominal,6.77
13.15856,-13.81769,2026-05-18,nominal,0.94
13.01363,-13.52815,2026-05-18,nominal,0.54
36.13866,2.92934,2026-05-18,nominal,0.77
48.27637,14.34086,2026-05-18,nominal,2.81
13.25608,-14.94797,2026-05-18,nominal,1.76
35.02656,9.7802,2026-05-18,nominal,0.56
48.27547,14.34605,2026-05-18,nominal,2.81
13.25123,-14.94892,2026-05-18,nominal,1.76
35.34869,5.76239,2026-05-18,nominal,0.91
48.27818,14.33048,2026-05-18,nominal,6.77
13.0133,-14.35185,2026-05-18,nominal,1.08
35.81453,-0.27585,2026-05-18,nominal,2.36
48.2731,14.33958,2026-05-18,nominal,2.81
12.9073,-13.80465,2026-05-18,nominal,0.8
35.81403,-0.26998,2026-05-18,nominal,2.28
48.274,14.33439,2026-05-18,nominal,6.77
13.13064,-15.61292,2026-05-18,nominal,3.11
35.80836,-0.25875,2026-05-18,nominal,1.13
48.26088,14.3293,2026-05-18,nominal,1.69
12.73504,-14.14098,2026-05-18,nominal,1.2
35.76974,-0.22152,2026-05-18,nominal,1.24
48.65257,10.16444,2026-05-18,nominal,0.72
12.73173,-14.15154,2026-05-18,nominal,1.08
33.86167,12.06015,2026-05-18,nominal,0.55
48.65343,10.16361,2026-05-18,nominal,0.61
12.73111,-14.14839,2026-05-18,nominal,1.08
33.85802,12.05913,2026-05-18,nominal,1.63
45.12463,25.4161,2026-05-18,nominal,1.41
12.59671,-13.84376,2026-05-18,nominal,0.64
34.5696,7.24137,2026-05-18,nominal,0.59
48.33295,9.73433,2026-05-18,nominal,0.67
12.23048,-13.91209,2026-05-18,nominal,6.47
33.87354,9.99097,2026-05-18,nominal,1.16
47.79206,12.18302,2026-05-18,nominal,0.64
12.22982,-13.90874,2026-05-18,nominal,3.65
33.36575,8.55023,2026-05-18,nominal,0.36
46.5798,15.67064,2026-05-18,nominal,0.88
