latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-18.35942,26.65817,302.52,0.44,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.85,1.19,N
-18.35993,26.66234,309.22,0.44,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.42,1.53,N
-18.36387,26.45063,332.84,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,292.6,4.09,N
-18.36698,26.47523,320.07,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,292.31,2.85,N
-18.3675,26.47932,321.52,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,291.41,2.85,N
-18.3681,26.44998,312.91,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,291.37,1.64,N
-18.37122,26.47456,298.77,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,288.24,1.06,N
-18.37173,26.47864,305.3,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.08,1.06,N
-18.37233,26.44932,305.37,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,292.38,1.64,N
-18.42476,26.52063,311.41,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,290.83,1.28,N
-18.4221,26.4668,301.43,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,288.26,0.46,N
-18.43335,26.51985,304.35,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.95,1.34,N
-18.4238,26.52255,303.61,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.85,1.97,N
-18.42101,26.4645,300.93,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,287.99,0.64,N
-18.43185,26.51746,299.9,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.01,1.38,N
-18.43628,26.48312,310.79,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,291.73,2.44,N
-18.43935,26.50795,301.51,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.72,1.38,N
-18.43987,26.51218,318.32,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,293.44,1.38,N
-18.44003,26.4785,300.51,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.98,1.31,N
-18.44414,26.51158,302.85,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,288.54,1.38,N
-18.44379,26.4739,309.39,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,289.36,1,N
-18.44804,26.47331,308.91,0.43,0.46,2026-05-18,0001,N,nominal,2.0NRT,288.95,1,N
38.92044,-9.01091,305.58,0.41,0.45,2026-05-18,0306,N,nominal,2.0NRT,285.45,1.24,N
-1.78794,9.82134,314.58,0.48,0.65,2026-05-18,0134,N,nominal,2.0NRT,286.05,0.66,N
38.31807,-6.71756,296.32,0.56,0.51,2026-05-18,0306,N,nominal,2.0NRT,282.65,1.54,N
-1.79395,9.8204,300.5,0.48,0.65,2026-05-18,0134,N,nominal,2.0NRT,286.01,0.66,N
38.32137,-6.71612,302.03,0.56,0.51,2026-05-18,0306,N,nominal,2.0NRT,282.75,1.05,N
-3.59108,-38.86515,312.48,0.58,0.69,2026-05-18,0317,N,nominal,2.0NRT,284.71,5.53,N
-1.80846,9.79521,340.57,0.48,0.65,2026-05-18,0134,N,nominal,2.0NRT,286.22,5.57,N
35.81639,-0.26721,310.88,0.69,0.74,2026-05-18,0306,N,nominal,2.0NRT,280.96,1.33,N
-3.59199,-38.85981,310.12,0.58,0.69,2026-05-18,0317,N,nominal,2.0NRT,284.58,4.33,N
-1.80477,9.79601,339.14,0.48,0.65,2026-05-18,0134,N,nominal,2.0NRT,285.95,3.31,N
35.81008,-0.27099,296.16,0.69,0.74,2026-05-18,0306,N,nominal,2.0NRT,281.71,1.25,N
-3.59192,-38.86136,328.7,0.58,0.69,2026-05-18,0317,N,nominal,2.0NRT,284.62,7.68,N
-1.8108,9.7953,312.5,0.48,0.65,2026-05-18,0134,N,nominal,2.0NRT,285.86,3.31,N
35.76431,-0.26857,296.73,0.69,0.74,2026-05-18,0306,N,nominal,2.0NRT,284.8,1.63,N
-12.39926,-38.34437,324.26,0.37,0.58,2026-05-18,0321,N,nominal,2.0NRT,294.43,2.59,N
-2.42006,9.8653,303.39,0.5,0.65,2026-05-18,0134,N,nominal,2.0NRT,286.76,0.79,N
15.96814,12.55877,306.89,0.37,0.58,2026-05-18,0130,N,nominal,2.0NRT,295.72,0.52,N
37.9824,-8.81879,339.29,0.44,0.46,2026-05-18,0306,N,nominal,2.0NRT,285.01,11.11,N
-20.22945,-40.23615,304.69,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,281.51,0.72,N
-2.42078,9.87,302.66,0.5,0.65,2026-05-18,0134,N,nominal,2.0NRT,286.77,0.79,N
15.62511,11.34177,306.02,0.62,0.54,2026-05-18,0132,N,nominal,2.0NRT,295.7,2.32,N
37.9813,-8.81389,331.93,0.44,0.46,2026-05-18,0306,N,nominal,2.0NRT,282.09,7.29,N
-20.23018,-40.23278,303.11,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,277.05,0.72,N
-2.42613,9.86429,300.3,0.5,0.65,2026-05-18,0134,N,nominal,2.0NRT,286.39,0.79,N
15.62252,11.32919,316.34,0.62,0.54,2026-05-18,0132,N,nominal,2.0NRT,296.9,3.88,N
37.18102,-6.89285,295.88,0.58,0.52,2026-05-18,0306,N,nominal,2.0NRT,285.49,1.41,N
-20.23245,-40.24764,312.12,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,284.46,1.69,N
15.61292,11.35125,306.35,0.62,0.54,2026-05-18,0132,N,nominal,2.0NRT,296.2,1.79,N
-2.42683,9.8689,300.46,0.5,0.65,2026-05-18,0134,N,nominal,2.0NRT,286.33,0.79,N
-20.23318,-40.24427,301.5,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,279.75,0.82,N
15.62475,11.34137,306.83,0.62,0.54,2026-05-18,0132,N,nominal,2.0NRT,295.83,2.65,N
-20.23393,-40.24085,301.66,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,278.69,0.82,N
15.62207,11.32876,318.64,0.62,0.54,2026-05-18,0132,N,nominal,2.0NRT,296.85,3.73,N
-20.2354,-40.23408,299.74,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,275.66,0.72,N
15.60538,11.28313,314.87,0.62,0.54,2026-05-18,0132,N,nominal,2.0NRT,296.02,3.22,N
-20.23614,-40.2307,302.89,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,275.69,0.57,N
15.60047,11.2821,307.89,0.62,0.54,2026-05-18,0132,N,nominal,2.0NRT,295.83,3.52,N
-20.23915,-40.24217,335.61,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,279.42,1.48,N
13.29696,13.88861,307.14,0.5,0.66,2026-05-18,0132,N,nominal,2.0NRT,288.24,0.94,N
-20.2384,-40.24557,305.16,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,281,1.48,N
13.29287,13.87795,300.26,0.5,0.66,2026-05-18,0132,N,nominal,2.0NRT,282.66,1.04,N
-20.24437,-40.24345,305.25,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,277.37,1.48,N
13.29092,13.88728,304.68,0.5,0.66,2026-05-18,0132,N,nominal,2.0NRT,287.53,0.94,N
-20.24959,-40.24477,334.48,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,286.09,3.4,N
13.23687,13.83918,305.47,0.5,0.66,2026-05-18,0132,N,nominal,2.0NRT,287.86,2.66,N
-20.25032,-40.24139,299.62,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,283.63,1.66,N
15.04494,-4.26499,312.02,0.52,0.5,2026-05-18,0132,N,nominal,2.0NRT,290.66,1.31,N
-20.25179,-40.23459,307.56,0.35,0.57,2026-05-18,0323,N,nominal,2.0NRT,282.87,1.07,N
15.07496,-4.54416,304.31,0.54,0.51,2026-05-18,0132,N,nominal,2.0NRT,291.74,1.15,N
-21.27035,-40.00097,330.79,0.32,0.55,2026-05-18,0323,N,nominal,2.0NRT,291.87,2.12,N
15.06619,-4.55053,305.91,0.54,0.51,2026-05-18,0132,N,nominal,2.0NRT,290.3,1.62,N
14.32603,-4.16891,303.39,0.5,0.49,2026-05-18,0132,N,nominal,2.0NRT,291.4,0.87,N
14.1522,-4.29519,308.56,0.51,0.49,2026-05-18,0132,N,nominal,2.0NRT,292.47,1.64,N
14.15141,-4.29397,308.34,0.51,0.49,2026-05-18,0132,N,nominal,2.0NRT,292.53,1.07,N
14.1108,-6.20993,307.64,0.34,0.56,2026-05-18,0132,N,nominal,2.0NRT,294.63,0.62,N
14.11042,-6.20675,304.38,0.34,0.56,2026-05-18,0132,N,nominal,2.0NRT,294.21,0.62,N
14.10485,-6.20424,311.96,0.34,0.56,2026-05-18,0132,N,nominal,2.0NRT,294.89,1.19,N
14.26037,-10.95306,306.21,0.7,0.75,2026-05-18,0132,N,nominal,2.0NRT,289.49,2.55,N
14.2618,-10.95294,307.35,0.7,0.75,2026-05-18,0132,N,nominal,2.0NRT,289.69,1.62,N
13.48607,-10.39234,312.17,0.63,0.72,2026-05-18,0132,N,nominal,2.0NRT,289.85,11.18,N
13.48324,-10.38814,318.06,0.63,0.72,2026-05-18,0132,N,nominal,2.0NRT,290.67,10.21,N
11.82217,-12.24437,302.85,0.8,0.78,2026-05-18,0132,N,nominal,2.0NRT,285.42,3.41,N
3.46508,5.56131,324.95,0.41,0.45,2026-05-18,0134,N,nominal,2.0NRT,285.91,3.43,N
